country,publish_hour,views
Canada,0,982329.9992101106
Canada,1,1073116.53296322
Canada,2,893601.5761035008
Canada,3,1146501.08081571
Canada,4,2158561.600754717
Canada,5,2563636.1920903954
Canada,6,1488243.2213247174
Canada,7,1672217.4786053882
Canada,8,1689870.2681159421
Canada,9,2518229.826171875
Canada,10,975775.0757575758
Canada,11,1163467.4379276638
Canada,12,1471429.34948605
Canada,13,1608767.5502890174
Canada,14,1259075.6902050113
Canada,15,1091099.054497947
Canada,16,765200.0275758335
Canada,17,1049136.8344763091
Canada,18,1027851.2347677887
Canada,19,832258.4352850539
Canada,20,923697.2908320493
Canada,21,966298.6326180258
Canada,22,949538.491681261
Canada,23,752726.9546525324
India,0,697562.8475
India,1,1252534.3846153845
India,2,765113.2443762781
India,3,1173202.9293233082
India,4,1276174.0076530613
India,5,1270203.3420329671
India,6,1110944.476969436
India,7,1312904.478999528
India,8,898995.506582155
India,9,915634.84863124
India,10,808550.9965986394
India,11,755874.2679738562
India,12,1155864.5790797987
India,13,1576479.5572025846
India,14,943188.8752642706
India,15,737590.4046948357
India,16,851242.4015932521
India,17,1052395.8323881538
India,18,1324983.5206124852
India,19,1087206.8206106871
India,20,1049459.3940298508
India,21,1499418.4930362117
India,22,1232885.0470809792
India,23,725234.0790513834
UK,0,9039659.985087719
UK,1,5259994.982276119
UK,2,4177266.794570136
UK,3,4370840.33126935
UK,4,14318343.496681416
UK,5,14815357.944573823
UK,6,2368193.935275081
UK,7,3734901.784440843
UK,8,6673698.2451361865
UK,9,5897098.179767103
UK,10,7444624.095597484
UK,11,6966888.432167832
UK,12,5733506.616974169
UK,13,4540890.742886179
UK,14,5928744.111720067
UK,15,4774160.50995355
UK,16,4831191.223150727
UK,17,4243366.668035191
UK,18,2858680.392810171
UK,19,2209379.3893762184
UK,20,4166527.477170418
UK,21,4576021.047086521
UK,22,6926614.142101784
UK,23,6421100.273654916
USA,0,1464088.155292479
USA,1,1978763.2640364189
USA,2,2097509.159188034
USA,3,2884458.1737288134
USA,4,7343508.945324881
USA,5,2384607.1157222665
USA,6,1642173.0696798493
USA,7,4147581.3214285714
USA,8,3409047.8481012657
USA,9,5748058.824793388
USA,10,4618096.73012939
USA,11,2584947.0397196263
USA,12,3114149.5938104447
USA,13,2822246.6565320664
USA,14,2513804.89918062
USA,15,1990367.2558139535
USA,16,1970129.9100572362
USA,17,1603781.3530606325
USA,18,1756689.8958116996
USA,19,1467202.3428705442
USA,20,1985574.6970973783
USA,21,2090362.3274714828
USA,22,1800147.5650842267
USA,23,1657133.8461538462
